   4.4787099141103682E-005   4.9638796573271090E-013   3.4621999074634958E-014
   5.3665598970837896E-005   6.1703326750814423E-013   4.6986998744147444E-014
   6.2741398796788427E-005   7.2464833263184529E-013   6.1824998347562426E-014
   7.1619898626522620E-005   8.1057518833522140E-013   5.6878998479757432E-014
   8.0498398456256841E-005   8.7564228959613010E-013   5.4405998545854935E-014
   8.9574198282207365E-005   9.2015134240650726E-013   5.1932998611952438E-014
   9.8452698111941572E-005   9.4343216378426534E-013   4.4513998810244947E-014
   1.0752849793789210E-004   9.4834106865306173E-013   4.4513998810244947E-014
   1.1640699776762632E-004   9.3702214795559001E-013   3.9567998942439953E-014
   1.2528549759736052E-004   9.1212398462105971E-013   3.4621999074634958E-014
   1.3436129742331105E-004   8.7559777559731978E-013   3.2148999140732461E-014
   1.4323979725304524E-004   8.3161547177286395E-013   2.9675999206829964E-014
   1.5211829708277946E-004   7.8165592710816571E-013   2.7202999272927467E-014
   1.6119409690872998E-004   7.2687403257235748E-013   2.4729999339024970E-014
   1.7007259673846418E-004   6.7125131805902262E-013   2.7202999272927467E-014
   1.7914839656441473E-004   6.1389503059202195E-013   2.9675999206829964E-014
   1.8802689639414892E-004   5.5874960506593022E-013   3.4621999074634958E-014
   1.9690539622388314E-004   5.0530065749449551E-013   3.9567998942439953E-014
   2.0598119604983367E-004   4.5320691388683941E-013   4.4513998810244947E-014
   2.1485969587956789E-004   4.0515157917124610E-013   5.4405998545854935E-014
   2.2373819570930208E-004   3.6043974036628894E-013   5.4405998545854935E-014
   2.3281399553525263E-004   3.1860894648432820E-013   5.6878998479757432E-014
   2.4169249536498683E-004   2.8085365649343879E-013   5.6878998479757432E-014
   2.5076829519093735E-004   2.4594231642653724E-013   5.6878998479757432E-014
   2.5964679502067157E-004   2.1524002224713774E-013   5.4405998545854935E-014
   2.6852529485040574E-004   1.8764134298478588E-013   5.1932998611952438E-014
   2.7760109467635631E-004   1.6263931365303162E-013   4.9459998678049941E-014
   2.8647959450609048E-004   1.4098078023191355E-013   4.6986998744147444E-014
   2.9535809433582476E-004   1.2172847574648262E-013   4.6986998744147444E-014
   3.0443389416177523E-004   1.0452628820625684E-013   4.6986998744147444E-014
   3.1331239399150945E-004   8.9898493597223570E-014   5.1932998611952438E-014
   3.2238819381745997E-004   7.6816323946879369E-014   5.6878998479757432E-014
   3.3126669364719419E-004   6.5732338243128367E-014   6.4297998281464923E-014
   3.4014519347692836E-004   5.5998610503288138E-014   6.9243998149269917E-014
   3.4922099330287893E-004   4.7617613727292581E-014   7.4189998017074911E-014
   3.5809949313261310E-004   4.0534941916595824E-014   7.9135997884879905E-014
   3.6717529295856362E-004   3.4154602087127386E-014   8.1608997818782402E-014
   3.7605379278829785E-004   2.8973667225601652E-014   8.6554997686587396E-014
   3.8493229261803212E-004   2.4534632344246671E-014   1.0139299729000238E-013
   3.9400809244398259E-004   2.0684171447160487E-014   1.3601499636463734E-013
   4.0288659227371686E-004   1.7526150531566996E-014   2.1762399418341974E-013
   4.1176509210345103E-004   1.4345872616568384E-014   3.7094999008537455E-014
   4.2084089192940150E-004   1.1185378701040993E-014   6.9243998149269917E-014
